,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0,0.0,0.0,0.0003,0.0005,0.0007,0.0066,0.0129,0.0,0.0226,0.0003,0.0,0.0,0.0,0.2126,0.2253,0.0006,0.0,0.0175,0.0,0.0,0.0001,0.0016,0.0011,0.0026,0.0001
SMA_50_y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.1718,0.1478,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0289
TSI_13_25_13_y,0.0762,0.0226,1.0,0.0,0.0029,0.0018,0.0015,0.2264,0.0,0.0131,0.0016,0.2169,0.0649,0.0,0.0,0.0,0.0,0.0001,0.2535,0.0,0.0,0.0,0.3678,0.0062,0.3448,0.1122,0.0
TSIs_13_25_13_y,0.2323,0.0,0.0,1.0,0.24,0.0,0.0004,0.0455,0.0,0.0,0.0,0.0,0.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0
BBL_5_2.0_y,0.06,0.0004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0
BBM_5_2.0_y,0.0072,0.0013,0.0,0.0,0.0294,1.0,0.0294,0.0376,0.0,0.0,0.0092,0.0,0.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739,0.0265,0.0
BBU_5_2.0_y,0.0003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0006,0.0079,0.0249,0.0053,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0129,0.0
BBB_5_2.0_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,0.0027,0.0,0.0004,0.0,0.0,0.0,0.0,0.1008,0.0779,0.0003,0.0,0.0001,0.0,0.0001,0.0,0.0004,0.0001,0.0472,0.0
BBP_5_2.0_y,0.621,0.458,0.0439,0.0235,0.0455,0.0186,0.5404,0.1361,1.0,0.719,0.0776,0.3957,0.273,0.1322,0.0053,0.2105,0.1907,0.4506,0.1274,0.187,0.1276,0.1319,0.3569,0.0502,0.1144,0.134,0.1021
PVI_1_y,0.4952,0.0673,0.058,0.0368,0.2577,0.0375,0.2826,0.1477,0.4225,1.0,0.5158,0.0113,0.0227,0.3691,0.0506,0.7292,0.7093,0.1543,0.2698,0.296,0.1963,0.2395,0.563,0.0987,0.2319,0.2304,0.0944
NVI_1_y,0.1252,0.0135,0.2181,0.207,0.0518,0.76,0.0984,0.0209,0.3445,0.3238,1.0,0.2008,0.0616,0.0126,0.1002,0.1777,0.176,0.0669,0.0926,0.1136,0.1071,0.2425,0.0689,0.085,0.0494,0.1448,0.1831
ATRr_14_y,0.0054,0.0007,0.0051,0.0011,0.4398,0.1502,0.3369,0.4199,0.0031,0.001,0.0043,1.0,0.0076,0.0103,0.0005,0.0078,0.0071,0.0906,0.0014,0.0071,0.0002,0.0042,0.0106,0.0035,0.3017,0.1106,0.0012
ADX_14_y,0.0006,0.0392,0.0,0.0074,0.023,0.0882,0.0175,0.0875,0.0,0.0293,0.0949,0.0079,1.0,0.0,0.0,0.0046,0.0101,0.0378,0.0005,0.004,0.0235,0.0,0.0193,0.0001,0.0008,0.0458,0.1447
DMP_14_y,0.3789,0.0795,0.0,0.0,0.0282,0.0009,0.0825,0.0259,0.0,0.0061,0.2724,0.0378,0.3861,1.0,0.0328,0.0006,0.0009,0.0124,0.0003,0.0003,0.0004,0.0,0.0047,0.0,0.2182,0.1706,0.0004
DMN_14_y,0.3295,0.4046,0.0,0.0,0.1578,0.0,0.2742,0.3394,0.0,0.0029,0.2262,0.1241,0.1498,0.0546,1.0,0.0001,0.0002,0.0235,0.0,0.0,0.0,0.0,0.0078,0.0,0.1828,0.5498,0.0
INC_1_y,0.4964,0.2594,0.365,0.3867,0.0991,0.114,0.1749,0.0563,0.0817,0.5123,0.1437,0.497,0.0285,0.1123,0.0454,1.0,0.3342,0.477,0.4533,0.3916,0.4556,0.1177,0.2454,0.0343,0.4457,0.0311,0.1971
DEC_1_y,0.3829,0.2544,0.452,0.4727,0.0853,0.1164,0.1739,0.0434,0.0885,0.5589,0.1591,0.3999,0.0333,0.1156,0.1148,0.3369,1.0,0.4722,0.5637,0.4623,0.5631,0.2207,0.3069,0.0263,0.5672,0.0367,0.2647
VWMA_10_y,0.0032,0.049,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0059,0.0,0.0031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0
MACD_12_26_9_y,0.0995,0.0669,0.3131,0.0,0.0427,0.0316,0.0259,0.2389,0.0,0.1233,0.001,0.1291,0.472,0.0,0.0,0.0,0.0,0.0038,1.0,0.0,0.0,0.0,0.6321,0.0113,0.4136,0.0818,0.0
MACDh_12_26_9_y,0.0996,0.064,0.0006,0.0014,0.0128,0.009,0.0066,0.316,0.0,0.0553,0.5062,0.5915,0.1141,0.0273,0.0172,0.0,0.0,0.0109,0.0,1.0,0.0,0.0688,0.0604,0.0064,0.0,0.0729,0.0
MACDs_12_26_9_y,0.2864,0.0,0.0,0.0,0.2109,0.0,0.0011,0.0528,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0042,0.0
RSI_14_y,0.42,0.155,0.2511,0.2658,0.2913,0.2294,0.3777,0.1544,0.0232,0.8417,0.1425,0.0652,0.3352,0.1933,0.0122,0.3054,0.4437,0.7235,0.4199,0.3998,0.4447,1.0,0.2116,0.023,0.3531,0.0711,0.2477
OBV_y,0.0901,0.0508,0.0587,0.0113,0.0308,0.004,0.1341,0.0083,0.013,0.0313,0.1019,0.0159,0.0634,0.0802,0.069,0.1691,0.1665,0.0752,0.086,0.0743,0.0457,0.0145,1.0,0.0012,0.1882,0.0099,0.0131
AD_y,0.0249,0.1398,0.0005,0.0003,0.2135,0.0068,0.1193,0.3046,0.0595,0.1004,0.1644,0.2282,0.4464,0.2104,0.1992,0.6005,0.4963,0.0013,0.0011,0.0003,0.0003,0.0102,0.3185,1.0,0.0133,0.0077,0.0254
AO_5_34_y,0.0026,0.0005,0.0,0.0,0.0019,0.0,0.0008,0.0075,0.0,0.0,0.0001,0.0001,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1474,0.0
score_y,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.3384,0.0,0.3799,0.0,0.0,0.0077,0.0001,0.6352,0.5686,0.0,0.0002,0.4002,0.0,0.0005,0.0,0.0019,0.0028,1.0,0.7753
log_ret_y,0.4993,0.0714,0.6507,0.7105,0.2066,0.0495,0.3775,0.2693,0.1334,0.3575,0.323,0.368,0.6561,0.1659,0.154,0.6967,0.7369,0.5015,0.4098,0.4408,0.4982,0.5083,0.5207,0.0173,0.4631,0.1056,1.0
