,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0,0.0,0.0,0.012,0.0005,0.0114,0.1238,0.0217,0.0003,0.0108,0.2501,0.0005,0.0001,0.0,0.0177,0.0177,0.0115,0.0,0.0547,0.0,0.0,0.0588,0.0,0.0,0.0764,0.0721
SMA_50_y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0409,0.0,0.0,0.0,0.0,0.0,0.0488,0.0022
TSI_13_25_13_y,0.1466,0.0524,1.0,0.0,0.0022,0.0144,0.0668,0.0,0.0,0.3459,0.1888,0.0396,0.0801,0.0,0.0,0.0,0.0,0.0002,0.0774,0.0,0.0,0.0,0.0015,0.0003,0.196,0.0648,0.0
TSIs_13_25_13_y,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0
BBL_5_2.0_y,0.0489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0571,0.0
BBM_5_2.0_y,0.001,0.0,0.0,0.0,0.0139,1.0,0.0139,0.0388,0.0,0.0,0.0,0.0,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2265,0.0
BBU_5_2.0_y,0.0222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0129,0.0,0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.1414,0.0
BBB_5_2.0_y,0.0068,0.0009,0.0001,0.0004,0.0114,0.0252,0.0222,1.0,0.0254,0.0086,0.0128,0.0,0.0074,0.0003,0.0267,0.0382,0.0382,0.0,0.0005,0.0661,0.0005,0.0026,0.0633,0.0144,0.0015,0.0523,0.0246
BBP_5_2.0_y,0.5223,0.2865,0.3738,0.0624,0.0113,0.2231,0.1028,0.0376,1.0,0.7793,0.5556,0.1129,0.1837,0.2081,0.7873,0.0241,0.0241,0.2339,0.3646,0.164,0.0721,0.3226,0.0265,0.1023,0.3521,0.0983,0.0678
PVI_1_y,0.1736,0.1656,0.0869,0.1185,0.409,0.022,0.2762,0.8067,0.0447,1.0,0.2334,0.3409,0.3048,0.1485,0.0729,0.048,0.048,0.2954,0.1489,0.3603,0.2137,0.0533,0.0015,0.0275,0.2013,0.0293,0.0539
NVI_1_y,0.0231,0.0,0.0262,0.0369,0.0052,0.0002,0.0323,0.0074,0.0835,0.0002,1.0,0.0162,0.1166,0.8027,0.0053,0.0535,0.0535,0.0,0.0,0.0,0.0,0.0785,0.0197,0.0001,0.0031,0.2538,0.0007
ATRr_14_y,0.0049,0.0032,0.0009,0.0008,0.0001,0.0,0.0106,0.0234,0.0451,0.012,0.028,1.0,0.0016,0.0069,0.0025,0.2876,0.2876,0.0,0.0,0.0,0.0,0.0013,0.0054,0.0,0.0,0.0402,0.0025
ADX_14_y,0.0998,0.009,0.0228,0.0317,0.0097,0.002,0.0324,0.0114,0.0062,0.0072,0.0001,0.1141,1.0,0.0043,0.0138,0.1354,0.1354,0.0422,0.0229,0.0029,0.1378,0.0149,0.2517,0.1373,0.0167,0.0085,0.0101
DMP_14_y,0.3364,0.0392,0.0202,0.0212,0.0255,0.0128,0.0424,0.3316,0.0009,0.1614,0.1432,0.0926,0.3791,1.0,0.3104,0.0068,0.0068,0.0294,0.0454,0.0362,0.0434,0.0023,0.0013,0.0002,0.3661,0.2218,0.0087
DMN_14_y,0.3963,0.1728,0.0094,0.0212,0.0656,0.0007,0.1891,0.0565,0.0014,0.194,0.0639,0.2766,0.5629,0.0752,1.0,0.0001,0.0001,0.0973,0.0024,0.0024,0.0056,0.0001,0.0076,0.0825,0.5201,0.3638,0.0004
INC_1_y,0.0627,0.105,0.4148,0.2181,0.0986,0.3523,0.4858,0.24,0.5836,0.3856,0.6685,0.5069,0.023,0.3943,0.4004,1.0,1.0,0.7887,0.5982,0.3752,0.4399,0.5358,0.0758,0.0776,0.4183,0.146,0.3575
DEC_1_y,0.0627,0.105,0.4148,0.2181,0.0986,0.3523,0.4858,0.24,0.5836,0.3856,0.6685,0.5069,0.023,0.3943,0.4004,1.0,1.0,0.7887,0.5982,0.3752,0.4399,0.5358,0.0758,0.0776,0.4183,0.146,0.3575
VWMA_10_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396,0.0,0.0,0.0,0.0027,0.0797,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0265,0.0
MACD_12_26_9_y,0.0949,0.0245,0.0579,0.0,0.0051,0.0159,0.0453,0.0,0.0,0.1964,0.0478,0.0037,0.0522,0.0,0.0,0.0,0.0,0.0002,1.0,0.0,0.0,0.0,0.0,0.0004,0.0051,0.0036,0.0
MACDh_12_26_9_y,0.0198,0.0076,0.0,0.0,0.0006,0.0045,0.0368,0.0,0.0,0.0939,0.363,0.0226,0.0675,0.0177,0.0201,0.0,0.0,0.0002,0.0,1.0,0.0,0.0343,0.0,0.002,0.0,0.0948,0.0
MACDs_12_26_9_y,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI_14_y,0.3955,0.0377,0.7091,0.4873,0.0404,0.0557,0.0808,0.2178,0.4214,0.2037,0.391,0.2881,0.3473,0.3295,0.0929,0.2782,0.2782,0.0451,0.1671,0.0973,0.1414,1.0,0.0026,0.0096,0.2748,0.3907,0.1097
OBV_y,0.0,0.0093,0.1131,0.0657,0.0107,0.0027,0.0212,0.7348,0.284,0.0014,0.207,0.0849,0.1009,0.2404,0.1084,0.1539,0.1539,0.0085,0.3332,0.4079,0.0931,0.1131,1.0,0.0601,0.3817,0.0063,0.0948
AD_y,0.0001,0.1998,0.0533,0.0636,0.1555,0.0219,0.4714,0.7419,0.0215,0.0028,0.1231,0.2014,0.188,0.2126,0.0025,0.0617,0.0617,0.1612,0.0441,0.014,0.0532,0.0606,0.0,1.0,0.0004,0.0361,0.0098
AO_5_34_y,0.1039,0.0,0.0,0.0,0.0047,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.073,0.0
score_y,0.1649,0.0968,0.2065,0.2861,0.0153,0.0438,0.0288,0.038,0.6629,0.0251,0.2123,0.5872,0.2044,0.3342,0.2197,0.3581,0.3581,0.0176,0.2288,0.0655,0.1817,0.4843,0.121,0.4931,0.1858,1.0,0.359
log_ret_y,0.2674,0.1005,0.1049,0.1178,0.0361,0.0173,0.0864,0.0999,0.5307,0.2031,0.2565,0.3572,0.5236,0.0793,0.4622,0.3932,0.3932,0.0167,0.054,0.1807,0.0515,0.19,0.0022,0.0069,0.0506,0.1656,1.0
