,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0867,0.0,0.0006,0.0779,0.0082,0.0044,0.7909,0.117,0.1195,0.0,0.0,0.0082,0.0,0.0,0.1598,0.0,0.0,0.0615,0.092
SMA_50_y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387,0.0,0.0,0.0,0.0,0.0,0.0101,0.0123,0.0,0.0,0.0585,0.0,0.0,0.0,0.0,0.0,0.0138,0.0043
TSI_13_25_13_y,0.2432,0.0007,1.0,0.0,0.0002,0.0001,0.0001,0.3071,0.0,0.0383,0.69,0.2118,0.4048,0.0557,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0437,0.0865,0.3107,0.0227,0.0
TSIs_13_25_13_y,0.0021,0.0,0.0,1.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0
BBL_5_2.0_y,0.7968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884,0.0
BBM_5_2.0_y,0.1377,0.0,0.0,0.0,0.0002,1.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339,0.0
BBU_5_2.0_y,0.0119,0.0005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0602,0.0258,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.172,0.0
BBB_5_2.0_y,0.4307,0.0095,0.0005,0.0007,0.0012,0.0022,0.005,1.0,0.0515,0.079,0.0013,0.0237,0.0651,0.0407,0.4174,0.0101,0.008,0.0011,0.0002,0.0677,0.0003,0.0004,0.0635,0.0006,0.0003,0.0447,0.0245
BBP_5_2.0_y,0.1136,0.0427,0.372,0.5222,0.368,0.4599,0.2515,0.1328,1.0,0.4641,0.3301,0.205,0.217,0.1198,0.5052,0.2641,0.4225,0.5423,0.2311,0.2542,0.343,0.3568,0.1256,0.1667,0.4153,0.241,0.2114
PVI_1_y,0.432,0.1673,0.073,0.097,0.0528,0.0336,0.012,0.0147,0.0667,1.0,0.0171,0.1133,0.0374,0.5516,0.1919,0.7363,0.7498,0.0577,0.0736,0.029,0.0529,0.0547,0.2046,0.0037,0.068,0.5406,0.0186
NVI_1_y,0.0212,0.0009,0.0867,0.0231,0.0644,0.0034,0.0307,0.2612,0.0212,0.0005,1.0,0.01,0.3428,0.3476,0.0476,0.0126,0.0171,0.0019,0.0009,0.0003,0.0004,0.0784,0.0258,0.0366,0.0031,0.1061,0.0014
ATRr_14_y,0.0208,0.0005,0.0,0.0,0.0003,0.0,0.0001,0.7106,0.0,0.0,0.0,1.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0129,0.1685,0.0
ADX_14_y,0.1981,0.1464,0.3163,0.3517,0.1121,0.347,0.274,0.0,0.5348,0.6294,0.1378,0.5674,1.0,0.2094,0.3706,0.7958,0.7167,0.348,0.5083,0.0631,0.1979,0.2579,0.5183,0.1555,0.4095,0.2358,0.3276
DMP_14_y,0.1346,0.0087,0.0203,0.0604,0.0313,0.0117,0.0115,0.4539,0.0098,0.1799,0.1956,0.0011,0.2314,1.0,0.0,0.0564,0.0689,0.0424,0.0423,0.0262,0.0603,0.1262,0.3032,0.1485,0.0091,0.3099,0.2
DMN_14_y,0.0324,0.0,0.0024,0.0027,0.0017,0.0014,0.0002,0.0111,0.0112,0.0034,0.1494,0.2373,0.1294,0.0,1.0,0.0222,0.0442,0.0019,0.0067,0.0661,0.0069,0.0011,0.0026,0.1532,0.0293,0.6821,0.0436
INC_1_y,0.0499,0.1532,0.3813,0.4313,0.741,0.5484,0.6266,0.061,0.4256,0.8753,0.6094,0.1805,0.4211,0.101,0.1607,1.0,0.1026,0.6022,0.5119,0.6172,0.5285,0.4602,0.0942,0.1583,0.5983,0.2871,0.5264
DEC_1_y,0.0553,0.1427,0.4832,0.5288,0.8554,0.6506,0.666,0.1023,0.4761,0.8508,0.6619,0.2253,0.3714,0.0943,0.1979,0.1669,1.0,0.5396,0.6097,0.7197,0.628,0.51,0.1279,0.2192,0.6195,0.2178,0.6026
VWMA_10_y,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.005,0.0641,0.0001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2697,0.0
MACD_12_26_9_y,0.2579,0.0013,0.049,0.0,0.0038,0.0013,0.0004,0.004,0.0,0.0508,0.4175,0.2171,0.3065,0.0989,0.0,0.0,0.0,0.0001,1.0,0.0,0.0,0.0,0.0642,0.0354,0.0501,0.0958,0.0
MACDh_12_26_9_y,0.0036,0.0001,0.0,0.0,0.0038,0.0029,0.0023,0.1984,0.0,0.0079,0.1507,0.0297,0.3534,0.0188,0.3454,0.0,0.0,0.0033,0.0,1.0,0.0,0.0074,0.0021,0.2824,0.0,0.2589,0.0
MACDs_12_26_9_y,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064,0.0
RSI_14_y,0.2654,0.0031,0.0572,0.0683,0.4361,0.3731,0.2058,0.2218,0.0459,0.2685,0.2326,0.4261,0.4013,0.0335,0.2082,0.291,0.4238,0.9007,0.4743,0.4748,0.5579,1.0,0.0586,0.0208,0.4186,0.6863,0.2719
OBV_y,0.0365,0.1659,0.0907,0.1434,0.0324,0.0606,0.0384,0.0019,0.5723,0.7355,0.0249,0.0562,0.2982,0.3704,0.546,0.5819,0.7211,0.0811,0.1413,0.6711,0.1696,0.0817,1.0,0.0137,0.5866,0.7125,0.2585
AD_y,0.0001,0.0841,0.1292,0.1045,0.0009,0.0026,0.0078,0.0359,0.4488,0.0009,0.1746,0.0127,0.0004,0.0028,0.0155,0.3797,0.35,0.0047,0.0084,0.0852,0.0083,0.1088,0.5124,1.0,0.2525,0.006,0.3823
AO_5_34_y,0.2991,0.0,0.0,0.0,0.055,0.0002,0.0232,0.0614,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335,1.0,0.213,0.0
score_y,0.2983,0.0123,0.0515,0.0076,0.0072,0.01,0.0073,0.0133,0.7863,0.6938,0.0002,0.0138,0.1785,0.0417,0.2,0.2769,0.4275,0.0094,0.0944,0.1666,0.0258,0.2588,0.1256,0.001,0.159,1.0,0.5389
log_ret_y,0.1795,0.0,0.7246,0.6769,0.4195,0.1681,0.097,0.1408,0.0395,0.0633,0.2724,0.1188,0.1854,0.4327,0.6977,0.3505,0.4779,0.5627,0.4651,0.3158,0.212,0.3149,0.0686,0.0754,0.3848,0.487,1.0
