,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,Unnamed: 0,score,log_ret
Open,1.0,0.9991633844827282,0.9988790947016418,0.9977857983891896,0.978433530363086,-0.38868612393495494,0.8937648924445402,0.6189241177625393,0.6844329942585768,0.9702163036395268,0.9755511654106312,0.9734643261716973,-0.2917170466688914,0.11869460355296592,0.7619827123481278,0.6978402486006273,-0.29842901928966115,0.10910414881906748,0.5757579384914796,0.2995717419456874,0.062045385237743104,-0.052300066453364664,0.9707297224328472,0.5719513739599623,-0.018133690895092664,0.6103829147959904,0.5073290911681978,0.5676506998588211,-0.7311857428389148,0.41605400502574974,0.8009135925813734,0.26619512562790154,0.041771281969063954
High,0.9991633844827282,1.0,0.9989966997198991,0.9990876647717724,0.9792430116310896,-0.38668464805337205,0.8950801110584723,0.6165488929876302,0.6820885051477578,0.9694445019586603,0.9751641938304874,0.9734665332745184,-0.2870601894558776,0.13026710041605827,0.7626821819184352,0.6982447902605552,-0.2973052883772877,0.11056326417216239,0.576695128106634,0.30003594346614326,0.07380596263121722,-0.06408898928770172,0.9704550264125645,0.5685950056480512,-0.018931619056070322,0.6070792353233181,0.5096329192293493,0.5697970084446299,-0.7314935329936848,0.4117024392875604,0.8011963419694059,0.26541133248070065,0.05677286787524732
Low,0.9988790947016418,0.9989966997198991,1.0,0.9991571405398907,0.98170619773263,-0.3930736181676187,0.8884291309954607,0.6273670476209945,0.6901193552401682,0.9725579947914396,0.976743181311827,0.9734934013284291,-0.305154486339225,0.13678626886188955,0.7548209377938423,0.7090668682875612,-0.3113892281213125,0.11046505082160747,0.5825049541121736,0.2971958648476513,0.07685326338603653,-0.06735623297290189,0.9715395366407531,0.5808684628404228,-0.007498295774588165,0.6165402795361429,0.5215293392720894,0.5756898774075077,-0.7411247972428355,0.42488550420576854,0.8094109004683432,0.2685226927308342,0.06102684160664815
Close,0.9977857983891896,0.9990876647717724,0.9991571405398907,1.0,0.9816181515270964,-0.3914557989730204,0.889582116970161,0.6249704845464009,0.6870280055339251,0.9711291983466688,0.975787620650404,0.9730200828884126,-0.2995441483571948,0.1460413569513165,0.7573740911033129,0.7066527774404047,-0.3072560536213203,0.11089014728514869,0.5812549035548282,0.2966634456270647,0.08932859074077179,-0.07984261230733745,0.9705340948781654,0.5778897463866828,-0.006262604240687378,0.6130103123319998,0.5233620273534296,0.5776633048681798,-0.7389076222426623,0.42116408825780166,0.8072584988401164,0.26610956118810997,0.07422671177557874
Adj Close,0.978433530363086,0.9792430116310896,0.98170619773263,0.9816181515270964,1.0,-0.3844417296382066,0.8607475712241371,0.6434009202458186,0.7102021827137656,0.9922197766073683,0.9945104503841923,0.9892237598022029,-0.3294195965369322,0.13822348704938262,0.690483063970716,0.7797576193981871,-0.4651664283282204,0.038385740511979446,0.6830152878601065,0.39919624431591183,0.07576399583714846,-0.06751262790151422,0.9894954857130169,0.614517048642878,-0.018762012985934218,0.6555868560042782,0.5303643442069069,0.6333590527792515,-0.795664125058362,0.43333844143642075,0.8670893190117438,0.2748534413810674,0.06538305594764365
Volume,-0.38868612393495494,-0.38668464805337205,-0.3930736181676187,-0.3914557989730204,-0.3844417296382066,1.0,-0.2498672421437884,-0.40207662851443704,-0.37132316221733863,-0.38999543638736545,-0.37455933145380255,-0.35621022279088294,0.32382305625089236,-0.10486112725953285,-0.357003441176608,-0.2533619135184056,0.1278312390516283,-0.0036636093136870255,-0.20694534560229505,0.00628021724364678,-0.04378704968155113,0.040488800231085496,-0.36098893235682766,-0.42103015193772547,-0.17998934736186611,-0.38984133982445063,-0.36688302575640763,-0.2245365009642063,0.29587937489321375,-0.3797698246829891,-0.31320852622578726,-0.02811151829429762,-0.04759886101039842
SMA_50,0.8937648924445402,0.8950801110584723,0.8884291309954607,0.889582116970161,0.8607475712241371,-0.2498672421437884,1.0,0.242737412654933,0.35725534144321125,0.857585500829538,0.8760323978479023,0.8878642751688206,-0.09481229252844267,-0.011508498230469755,0.7918836690047295,0.4748346290054136,-0.12560308594189207,-0.02609309012668878,0.5012805039113334,0.4973555932825456,-0.0014955583368258865,0.009256613287601455,0.8851751774000306,0.1793061644394814,-0.20933466637876166,0.25400614015624895,0.13497887323353114,0.39931359271850875,-0.483140677061032,-0.0018025916925524224,0.5902829341347062,0.21579994969929478,-0.040786654130116666
TSI_13_25_13,0.6189241177625393,0.6165488929876302,0.6273670476209945,0.6249704845464009,0.6434009202458186,-0.40207662851443704,0.242737412654933,1.0,0.9370154965595627,0.6414686915130527,0.6235788176420465,0.6008676239217636,-0.4431865442303931,0.1757231756419469,0.35713822061127404,0.6413969254875774,-0.391500212646193,0.3465085621551374,0.3552783972458201,-0.1963938267729413,0.08989360117755557,-0.08089146982756772,0.5973672566751516,0.9740515082760559,0.30596953345184125,0.9358710613520654,0.8785768721524383,0.6029440778834841,-0.7045654920667651,0.8922710078159074,0.6777084333700916,0.17973446041543226,0.07050231006328668
TSIs_13_25_13,0.6844329942585768,0.6820885051477578,0.6901193552401682,0.6870280055339251,0.7102021827137656,-0.37132316221733863,0.35725534144321125,0.9370154965595627,1.0,0.7201211127106184,0.7073215504214659,0.6890803941646241,-0.4074854717337456,0.057418423782532806,0.3872190011863795,0.7017444421891328,-0.4476141274180605,0.39120867990525193,0.3807414397309661,-0.04405389147702838,0.047167353433587494,-0.038987341352602976,0.6995321886100447,0.9082590486565886,-0.029291559185682964,0.9694407142303764,0.7116175498580053,0.581711403828444,-0.7553264642319089,0.7795724936711949,0.746700764792155,0.2598486549559072,0.02038710665230601
BBL_5_2.0,0.9702163036395268,0.9694445019586603,0.9725579947914396,0.9711291983466688,0.9922197766073683,-0.38999543638736545,0.857585500829538,0.6414686915130527,0.7201211127106184,1.0,0.9962069290903941,0.9848014697969009,-0.3937835541901666,0.05156973994860933,0.6787256150009394,0.7792717717141778,-0.4765775465432447,0.033075460198686096,0.6679297786634864,0.41247604060215387,0.024407114475318605,-0.015939008228529526,0.9928600492244486,0.6169415583955167,-0.051063746591488185,0.6680880791343764,0.48755942477700154,0.6228503654632933,-0.7973655980745893,0.44126027627792086,0.8690335992053405,0.2752746931279665,0.0028649525749441947
BBM_5_2.0,0.9755511654106312,0.9751641938304874,0.976743181311827,0.975787620650404,0.9945104503841923,-0.37455933145380255,0.8760323978479023,0.6235788176420465,0.7073215504214659,0.9962069290903941,1.0,0.9961792884440139,-0.31368447946055217,0.04781296956735424,0.6950210088475507,0.7659062113878425,-0.46006735946438765,0.030733561044250915,0.673106292655999,0.43490429033495154,0.020338287906288638,-0.012167294511207958,0.9974600254587441,0.5967147202256685,-0.07198210632596895,0.6531348318507654,0.46877669279557904,0.616137818450305,-0.7814416368585136,0.41637411729322804,0.8576856128725426,0.27863424029422884,-0.004985109254986669
BBU_5_2.0,0.9734643261716973,0.9734665332745184,0.9734934013284291,0.9730200828884126,0.9892237598022029,-0.35621022279088294,0.8878642751688206,0.6008676239217636,0.6890803941646241,0.9848014697969009,0.9961792884440139,1.0,-0.23090199991268143,0.0436778661962327,0.7060742466851746,0.7466501450063467,-0.43998805285438286,0.028148738960401966,0.6731674446310074,0.4540967000059684,0.016099560125783147,-0.008289082776342783,0.9944685220870949,0.571862986288033,-0.09242735267795761,0.6331454846822079,0.44635016103788205,0.604701281986088,-0.7594993853141173,0.3882217063739666,0.8397543921985385,0.2798806856715239,-0.012826363564748363
BBB_5_2.0,-0.2917170466688914,-0.2870601894558776,-0.305154486339225,-0.2995441483571948,-0.3294195965369322,0.32382305625089236,-0.09481229252844267,-0.4431865442303931,-0.4074854717337456,-0.3937835541901666,-0.31368447946055217,-0.23090199991268143,1.0,-0.06127288567000462,-0.06740786209274985,-0.4254784020930783,0.3387848103685055,-0.03796854409166984,-0.16554839796364643,0.1078347813865189,-0.058581127041288136,0.05210925898414628,-0.3020047231386617,-0.4648322768260683,-0.24238505113051478,-0.4169637594605221,-0.39813057934704205,-0.31436993918507755,0.4579201113560063,-0.45889228560345263,-0.4318885063817763,-0.06531055501210171,-0.08417538336841995
BBP_5_2.0,0.11869460355296592,0.13026710041605827,0.13678626886188955,0.1460413569513165,0.13822348704938262,-0.10486112725953285,-0.011508498230469755,0.1757231756419469,0.057418423782532806,0.05156973994860933,0.04781296956735424,0.0436778661962327,-0.06127288567000462,1.0,0.06670469809401837,0.1498893244449888,-0.04133818351537978,0.05026362605745017,0.14435708019493268,-0.2187591123034048,0.6367709204087199,-0.6347347827165645,0.029561773146565277,0.15418329673557302,0.3723024118663181,0.04850278500643443,0.5429637041624475,0.18586826840423096,-0.14493248769969463,0.11038043127302775,0.12373359734708289,-0.05837352584843023,0.6710163316873898
PVI_1,0.7619827123481278,0.7626821819184352,0.7548209377938423,0.7573740911033129,0.690483063970716,-0.357003441176608,0.7918836690047295,0.35713822061127404,0.3872190011863795,0.6787256150009394,0.6950210088475507,0.7060742466851746,-0.06740786209274985,0.06670469809401837,1.0,0.09491842030489828,0.1826901279091436,0.01543805116382305,0.29572032765857087,0.1985055935151365,0.058906481104295805,-0.051816521111821105,0.6928714208416205,0.3040757018502923,0.0007022794964115734,0.321325717411613,0.285965731946894,0.3471637061656988,-0.19761149900902497,0.14294318778050674,0.2908256447331367,-0.0004308405796951008,0.007167972779829331
NVI_1,0.6978402486006273,0.6982447902605552,0.7090668682875612,0.7066527774404047,0.7797576193981871,-0.2533619135184056,0.4748346290054136,0.6413969254875774,0.7017444421891328,0.7792717717141778,0.7659062113878425,0.7466501450063467,-0.4254784020930783,0.1498893244449888,0.09491842030489828,1.0,-0.7647543517806566,0.10733517277758083,0.6251955982805649,0.29199214904090826,0.07145309208192438,-0.06576981092156482,0.7588396928425591,0.6425573093094928,-0.002597843592956688,0.6802649281252,0.5427108440038665,0.5745702446485687,-0.951011693349639,0.5373062749692379,0.9565056748196072,0.37369355178489533,0.09814721614333512
ATRr_14,-0.29842901928966115,-0.2973052883772877,-0.3113892281213125,-0.3072560536213203,-0.4651664283282204,0.1278312390516283,-0.12560308594189207,-0.391500212646193,-0.4476141274180605,-0.4765775465432447,-0.46006735946438765,-0.43998805285438286,0.3387848103685055,-0.04133818351537978,0.1826901279091436,-0.7647543517806566,1.0,0.20228803127488432,-0.758852419782277,-0.5407165468973812,0.026652800529272526,-0.023872767802020325,-0.45980272551857876,-0.4657859196333337,0.06029601447711454,-0.511090336739494,-0.2937963680799025,-0.48393659084439555,0.6755282600297331,-0.37919219286852723,-0.6984800198025625,-0.2328772416944489,-0.04921454727737713
ADX_14,0.10910414881906748,0.11056326417216239,0.11046505082160747,0.11089014728514869,0.038385740511979446,-0.0036636093136870255,-0.02609309012668878,0.3465085621551374,0.39120867990525193,0.033075460198686096,0.030733561044250915,0.028148738960401966,-0.03796854409166984,0.05026362605745017,0.01543805116382305,0.10733517277758083,0.20228803127488432,1.0,-0.18785172053320415,-0.3818733286139969,0.034972393416957216,-0.032697169445247504,0.02752935429620041,0.19366719616841543,-0.07490711763747285,0.2278361750578286,0.2826180505434094,-0.08779009808845832,-0.12535401668841456,0.2195974873054864,0.08207276768406263,0.1347334292231424,0.04888204552132467
DMP_14,0.5757579384914796,0.576695128106634,0.5825049541121736,0.5812549035548282,0.6830152878601065,-0.20694534560229505,0.5012805039113334,0.3552783972458201,0.3807414397309661,0.6679297786634864,0.673106292655999,0.6731674446310074,-0.16554839796364643,0.14435708019493268,0.29572032765857087,0.6251955982805649,-0.758852419782277,-0.18785172053320415,1.0,0.6875881939912085,0.0077383121011101634,-0.0059343758398274285,0.6689560884368051,0.38102962625293907,0.025404757140218056,0.39510028426890725,0.3231790078859743,0.4933222182153626,-0.5296599714059009,0.2829128068083812,0.6253535567733782,0.20103703418223667,0.08242596222141904
DMN_14,0.2995717419456874,0.30003594346614326,0.2971958648476513,0.2966634456270647,0.39919624431591183,0.00628021724364678,0.4973555932825456,-0.1963938267729413,-0.04405389147702838,0.41247604060215387,0.43490429033495154,0.4540967000059684,0.1078347813865189,-0.2187591123034048,0.1985055935151365,0.29199214904090826,-0.5407165468973812,-0.3818733286139969,0.6875881939912085,1.0,-0.15057485270688617,0.14686734005829336,0.4584933010170476,-0.160550176157962,-0.3985484971830987,-0.04716091401435436,-0.335699527708242,0.19524443797121632,-0.182238823062698,-0.28682345604737497,0.3109072478692025,0.1132741958205668,-0.14723335722437442
INC_1,0.062045385237743104,0.07380596263121722,0.07685326338603653,0.08932859074077179,0.07576399583714846,-0.04378704968155113,-0.0014955583368258865,0.08989360117755557,0.047167353433587494,0.024407114475318605,0.020338287906288638,0.016099560125783147,-0.058581127041288136,0.6367709204087199,0.058906481104295805,0.07145309208192438,0.026652800529272526,0.034972393416957216,0.0077383121011101634,-0.15057485270688617,1.0,-0.989077251545,0.01713664126856543,0.07758433257011624,0.13387668992275298,0.04085434242600404,0.30611835462344594,0.1420791643520967,-0.07523654909646499,0.0404076573105379,0.06042632920896438,-0.04961687792543578,0.7203742397258345
DEC_1,-0.052300066453364664,-0.06408898928770172,-0.06735623297290189,-0.07984261230733745,-0.06751262790151422,0.040488800231085496,0.009256613287601455,-0.08089146982756772,-0.038987341352602976,-0.015939008228529526,-0.012167294511207958,-0.008289082776342783,0.05210925898414628,-0.6347347827165645,-0.051816521111821105,-0.06576981092156482,-0.023872767802020325,-0.032697169445247504,-0.0059343758398274285,0.14686734005829336,-0.989077251545,1.0,-0.00870461268936252,-0.0700813709028978,-0.1323274842783295,-0.03339701619244959,-0.29937624334267166,-0.14269471640727038,0.06577917830008664,-0.033677335007734364,-0.051425934989836095,0.05689410304320727,-0.7206233285378428
VWMA_10,0.9707297224328472,0.9704550264125645,0.9715395366407531,0.9705340948781654,0.9894954857130169,-0.36098893235682766,0.8851751774000306,0.5973672566751516,0.6995321886100447,0.9928600492244486,0.9974600254587441,0.9944685220870949,-0.3020047231386617,0.029561773146565277,0.6928714208416205,0.7588396928425591,-0.45980272551857876,0.02752935429620041,0.6689560884368051,0.4584933010170476,0.01713664126856543,-0.00870461268936252,1.0,0.5706457002092727,-0.12743295587142142,0.6426275582499229,0.4282834286937219,0.6044213128937581,-0.7736233565508324,0.3856623726650041,0.8529621763046116,0.2804148902569497,-0.010056459168111192
MACD_12_26_9,0.5719513739599623,0.5685950056480512,0.5808684628404228,0.5778897463866828,0.614517048642878,-0.42103015193772547,0.1793061644394814,0.9740515082760559,0.9082590486565886,0.6169415583955167,0.5967147202256685,0.571862986288033,-0.4648322768260683,0.15418329673557302,0.3040757018502923,0.6425573093094928,-0.4657859196333337,0.19366719616841543,0.38102962625293907,-0.160550176157962,0.07758433257011624,-0.0700813709028978,0.5706457002092727,1.0,0.3271042642492085,0.9568080478488108,0.8458836936837841,0.5925570374090366,-0.7078919100772394,0.9267712420933443,0.6761451291925833,0.15847720391718212,0.05803930359276371
MACDh_12_26_9,-0.018133690895092664,-0.018931619056070322,-0.007498295774588165,-0.006262604240687378,-0.018762012985934218,-0.17998934736186611,-0.20933466637876166,0.30596953345184125,-0.029291559185682964,-0.051063746591488185,-0.07198210632596895,-0.09242735267795761,-0.24238505113051478,0.3723024118663181,0.0007022794964115734,-0.002597843592956688,0.06029601447711454,-0.07490711763747285,0.025404757140218056,-0.3985484971830987,0.13387668992275298,-0.1323274842783295,-0.12743295587142142,0.3271042642492085,1.0,0.03824861533389494,0.5773589148757128,0.16061908443054948,-0.02393253442379893,0.44272916202581314,-0.02802278371222738,-0.14966087375033035,0.1696589543206634
MACDs_12_26_9,0.6103829147959904,0.6070792353233181,0.6165402795361429,0.6130103123319998,0.6555868560042782,-0.38984133982445063,0.25400614015624895,0.9358710613520654,0.9694407142303764,0.6680880791343764,0.6531348318507654,0.6331454846822079,-0.4169637594605221,0.04850278500643443,0.321325717411613,0.6802649281252,-0.511090336739494,0.2278361750578286,0.39510028426890725,-0.04716091401435436,0.04085434242600404,-0.03339701619244959,0.6426275582499229,0.9568080478488108,0.03824861533389494,1.0,0.7168498608756293,0.5771798611976421,-0.7411904154901329,0.843801678894341,0.7236038702667291,0.2136224543335215,0.009174655685822089
RSI_14,0.5073290911681978,0.5096329192293493,0.5215293392720894,0.5233620273534296,0.5303643442069069,-0.36688302575640763,0.13497887323353114,0.8785768721524383,0.7116175498580053,0.48755942477700154,0.46877669279557904,0.44635016103788205,-0.39813057934704205,0.5429637041624475,0.285965731946894,0.5427108440038665,-0.2937963680799025,0.2826180505434094,0.3231790078859743,-0.335699527708242,0.30611835462344594,-0.29937624334267166,0.4282834286937219,0.8458836936837841,0.5773589148757128,0.7168498608756293,1.0,0.5530731394252014,-0.5957577853536375,0.7926292806322588,0.5555453727576171,0.08952540473378415,0.3310466202427818
OBV,0.5676506998588211,0.5697970084446299,0.5756898774075077,0.5776633048681798,0.6333590527792515,-0.2245365009642063,0.39931359271850875,0.6029440778834841,0.581711403828444,0.6228503654632933,0.616137818450305,0.604701281986088,-0.31436993918507755,0.18586826840423096,0.3471637061656988,0.5745702446485687,-0.48393659084439555,-0.08779009808845832,0.4933222182153626,0.19524443797121632,0.1420791643520967,-0.14269471640727038,0.6044213128937581,0.5925570374090366,0.16061908443054948,0.5771798611976421,0.5530731394252014,1.0,-0.5411691120551687,0.4287982571257433,0.5778757635978162,0.11762020401037966,0.11118652963553953
AD,-0.7311857428389148,-0.7314935329936848,-0.7411247972428355,-0.7389076222426623,-0.795664125058362,0.29587937489321375,-0.483140677061032,-0.7045654920667651,-0.7553264642319089,-0.7973655980745893,-0.7814416368585136,-0.7594993853141173,0.4579201113560063,-0.14493248769969463,-0.19761149900902497,-0.951011693349639,0.6755282600297331,-0.12535401668841456,-0.5296599714059009,-0.182238823062698,-0.07523654909646499,0.06577917830008664,-0.7736233565508324,-0.7078919100772394,-0.02393253442379893,-0.7411904154901329,-0.5957577853536375,-0.5411691120551687,1.0,-0.6031676325059697,-0.985943772845372,-0.32958639561232456,-0.0884694286318331
AO_5_34,0.41605400502574974,0.4117024392875604,0.42488550420576854,0.42116408825780166,0.43333844143642075,-0.3797698246829891,-0.0018025916925524224,0.8922710078159074,0.7795724936711949,0.44126027627792086,0.41637411729322804,0.3882217063739666,-0.45889228560345263,0.11038043127302775,0.14294318778050674,0.5373062749692379,-0.37919219286852723,0.2195974873054864,0.2829128068083812,-0.28682345604737497,0.0404076573105379,-0.033677335007734364,0.3856623726650041,0.9267712420933443,0.44272916202581314,0.843801678894341,0.7926292806322588,0.4287982571257433,-0.6031676325059697,1.0,0.5502786821308837,0.13582712506195596,0.0397340189211775
Unnamed: 0,0.8009135925813734,0.8011963419694059,0.8094109004683432,0.8072584988401164,0.8670893190117438,-0.31320852622578726,0.5902829341347062,0.6777084333700916,0.746700764792155,0.8690335992053405,0.8576856128725426,0.8397543921985385,-0.4318885063817763,0.12373359734708289,0.2908256447331367,0.9565056748196072,-0.6984800198025625,0.08207276768406263,0.6253535567733782,0.3109072478692025,0.06042632920896438,-0.051425934989836095,0.8529621763046116,0.6761451291925833,-0.02802278371222738,0.7236038702667291,0.5555453727576171,0.5778757635978162,-0.985943772845372,0.5502786821308837,1.0,0.33290537734765174,0.07142491814742334
score,0.26619512562790154,0.26541133248070065,0.2685226927308342,0.26610956118810997,0.2748534413810674,-0.02811151829429762,0.21579994969929478,0.17973446041543226,0.2598486549559072,0.2752746931279665,0.27863424029422884,0.2798806856715239,-0.06531055501210171,-0.05837352584843023,-0.0004308405796951008,0.37369355178489533,-0.2328772416944489,0.1347334292231424,0.20103703418223667,0.1132741958205668,-0.04961687792543578,0.05689410304320727,0.2804148902569497,0.15847720391718212,-0.14966087375033035,0.2136224543335215,0.08952540473378415,0.11762020401037966,-0.32958639561232456,0.13582712506195596,0.33290537734765174,1.0,0.02594579359442396
log_ret,0.041771281969063954,0.05677286787524732,0.06102684160664815,0.07422671177557874,0.06538305594764365,-0.04759886101039842,-0.040786654130116666,0.07050231006328668,0.02038710665230601,0.0028649525749441947,-0.004985109254986669,-0.012826363564748363,-0.08417538336841995,0.6710163316873898,0.007167972779829331,0.09814721614333512,-0.04921454727737713,0.04888204552132467,0.08242596222141904,-0.14723335722437442,0.7203742397258345,-0.7206233285378428,-0.010056459168111192,0.05803930359276371,0.1696589543206634,0.009174655685822089,0.3310466202427818,0.11118652963553953,-0.0884694286318331,0.0397340189211775,0.07142491814742334,0.02594579359442396,1.0
