,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.473,0.4465,0.4148,0.3971,0.4235,0.4152,0.5907,0.4029,0.402,0.5328,0.505,0.0945,0.1538,0.0684,0.0863,0.0937,0.1928,0.3348,0.1919,0.3356,0.2971,0.0198,0.0981,0.0999,0.5239,0.0823
SMA_50_y,0.3136,1.0,0.0,0.0,0.0,0.0,0.0,0.2871,0.0881,0.0,0.0,0.0,0.0,0.0,0.0146,0.1797,0.1264,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0426,0.3107
TSI_13_25_13_y,0.1194,0.0037,1.0,0.0,0.0,0.0,0.0,0.3209,0.0,0.0179,0.2058,0.0844,0.6377,0.0014,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0308,0.0366,0.0,0.0962,0.0
TSIs_13_25_13_y,0.0817,0.0001,0.0,1.0,0.0,0.0,0.0,0.3657,0.0,0.0,0.0,0.0001,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0575,0.0
BBL_5_2.0_y,0.1164,0.0008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0145,0.0026,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254,0.0,0.0343,0.0
BBM_5_2.0_y,0.1019,0.0,0.0,0.0,0.0731,1.0,0.0731,0.0652,0.0,0.0,0.0001,0.0001,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.0
BBU_5_2.0_y,0.0,0.0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0018,0.1283,0.0019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.2331,0.0
BBB_5_2.0_y,0.0017,0.3022,0.0043,0.0063,0.0012,0.0027,0.0088,1.0,0.0245,0.1616,0.1103,0.2737,0.0286,0.0119,0.0136,0.0555,0.0318,0.0186,0.0091,0.0103,0.0083,0.0039,0.2274,0.0003,0.0045,0.1725,0.037
BBP_5_2.0_y,0.3865,0.0086,0.0011,0.0013,0.0149,0.0099,0.021,0.1759,1.0,0.0358,0.2816,0.3079,0.607,0.6153,0.0277,0.0113,0.0073,0.0057,0.008,0.004,0.0051,0.1134,0.0023,0.297,0.0049,0.6261,0.1142
PVI_1_y,0.2135,0.1963,0.1549,0.0281,0.4256,0.2944,0.3076,0.4683,0.071,1.0,0.8034,0.1725,0.4922,0.4812,0.0037,0.095,0.0818,0.1247,0.1095,0.0182,0.0456,0.0315,0.1653,0.1051,0.0161,0.6722,0.457
NVI_1_y,0.0109,0.1476,0.0358,0.0385,0.2692,0.1079,0.1288,0.4909,0.2869,0.0095,1.0,0.0233,0.2712,0.0886,0.3743,0.3516,0.2895,0.0001,0.0363,0.0352,0.0353,0.0558,0.0053,0.0809,0.1528,0.1887,0.0992
ATRr_14_y,0.0667,0.0604,0.0862,0.0031,0.1714,0.0844,0.1432,0.3275,0.0303,0.0104,0.5528,1.0,0.0198,0.1389,0.2728,0.1924,0.2117,0.0055,0.0381,0.0237,0.0026,0.0788,0.0244,0.0,0.0747,0.3771,0.0532
ADX_14_y,0.0057,0.0023,0.2083,0.1882,0.0817,0.0211,0.0165,0.0002,0.0261,0.1764,0.044,0.015,1.0,0.0001,0.0999,0.0153,0.0218,0.1451,0.2947,0.2389,0.1267,0.0329,0.0949,0.0501,0.0468,0.1256,0.0892
DMP_14_y,0.1208,0.0009,0.0002,0.0002,0.0009,0.0004,0.0005,0.1119,0.0003,0.0,0.3055,0.1248,0.0666,1.0,0.0039,0.0002,0.0002,0.0001,0.0002,0.0011,0.0007,0.0,0.0001,0.0061,0.0619,0.6057,0.0
DMN_14_y,0.6828,0.0099,0.0046,0.0014,0.0029,0.0026,0.0039,0.2226,0.1109,0.0004,0.0485,0.0519,0.4762,0.2193,1.0,0.0602,0.0708,0.0016,0.0147,0.0602,0.0079,0.0051,0.0018,0.0021,0.1478,0.7736,0.0505
