,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.3929,0.71,0.6266,0.5862,0.6751,0.5084,0.4836,0.586,0.249,0.0282,0.4239,0.0149,0.7097,0.7596,0.3154,0.3154,0.5201,0.6786,0.8167,0.6341,0.6168,0.6564,0.6858,0.5488,0.5516,0.7295
SMA_50_y,0.1506,1.0,0.0,0.0,0.0,0.0,0.0,0.3633,0.064,0.0,0.1543,0.0271,0.0,0.0,0.0,0.0978,0.0978,0.0,0.0,0.0578,0.0,0.0,0.0,0.1658,0.0,0.0651,0.5917
TSI_13_25_13_y,0.1621,0.0,1.0,0.0,0.0,0.0,0.0,0.1188,0.0,0.1932,0.4996,0.1206,0.0704,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.1579,0.0,0.0526,0.0
TSIs_13_25_13_y,0.2575,0.0,0.0,1.0,0.0,0.0,0.0,0.1115,0.0,0.0,0.0,0.1273,0.2838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0337,0.0
BBL_5_2.0_y,0.0009,0.0004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0486,0.0,0.0334,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516,0.0
BBM_5_2.0_y,0.0226,0.0,0.0,0.0,0.3648,1.0,0.3648,0.3748,0.0,0.0,0.0001,0.0463,0.3683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.0
BBU_5_2.0_y,0.0207,0.0018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0007,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0,0.1205,0.0
BBB_5_2.0_y,0.003,0.0416,0.0629,0.1188,0.0273,0.0387,0.0555,1.0,0.1249,0.0015,0.1071,0.0,0.0638,0.0585,0.0539,0.1648,0.1648,0.056,0.0887,0.1285,0.1468,0.0389,0.0998,0.0342,0.0224,0.61,0.1052
BBP_5_2.0_y,0.1312,0.0676,0.076,0.1247,0.045,0.0647,0.0623,0.1251,1.0,0.3086,0.6846,0.6031,0.2905,0.8102,0.0943,0.1277,0.1277,0.0608,0.1517,0.1446,0.2406,0.0799,0.0161,0.5862,0.1978,0.0806,0.0958
PVI_1_y,0.0113,0.0007,0.1865,0.1029,0.0903,0.0371,0.0105,0.2231,0.3802,1.0,0.109,0.2607,0.248,0.3785,0.1183,0.2226,0.2226,0.0147,0.1856,0.1292,0.1299,0.4041,0.0322,0.1367,0.22,0.0163,0.3578
NVI_1_y,0.7492,0.0938,0.2911,0.2513,0.1129,0.2032,0.1591,0.1494,0.7072,0.0794,1.0,0.0893,0.4316,0.4103,0.2055,0.126,0.126,0.2091,0.2209,0.2408,0.2255,0.2881,0.0278,0.0113,0.1143,0.1409,0.1938
ATRr_14_y,0.0363,0.1148,0.4437,0.3031,0.6728,0.5945,0.7387,0.5713,0.4781,0.0697,0.0167,1.0,0.0379,0.5273,0.277,0.0965,0.0965,0.2626,0.383,0.2552,0.2061,0.4453,0.1532,0.0125,0.3488,0.9017,0.2844
ADX_14_y,0.0011,0.0485,0.0277,0.0145,0.1213,0.0883,0.1294,0.021,0.027,0.0071,0.1184,0.1035,1.0,0.0,0.0034,0.2456,0.2456,0.0282,0.0111,0.0025,0.0461,0.0005,0.0296,0.1572,0.0031,0.2363,0.1294
DMP_14_y,0.0349,0.0128,0.0,0.0002,0.0089,0.001,0.0013,0.256,0.0,0.0515,0.003,0.0882,0.2061,1.0,0.0004,0.0008,0.0008,0.0017,0.0,0.0,0.0004,0.0001,0.0001,0.0004,0.1044,0.1665,0.0
DMN_14_y,0.0861,0.0342,0.0116,0.0171,0.0004,0.0012,0.0074,0.0706,0.0049,0.1133,0.0708,0.1303,0.1721,0.3732,1.0,0.0218,0.0218,0.0024,0.004,0.0056,0.0092,0.0308,0.003,0.0027,0.2628,0.2078,0.0108
INC_1_y,0.3738,0.0577,0.1157,0.2097,0.3401,0.0468,0.3525,0.4993,0.1992,0.2591,0.4483,0.4044,0.2622,0.103,0.3409,1.0,1.0,0.3308,0.0731,0.0734,0.1549,0.1951,0.0036,0.2915,0.1273,0.1922,0.0311
DEC_1_y,0.3738,0.0577,0.1157,0.2097,0.3401,0.0468,0.3525,0.4993,0.1992,0.2591,0.4483,0.4044,0.2622,0.103,0.3409,1.0,1.0,0.3308,0.0731,0.0734,0.1549,0.1951,0.0036,0.2915,0.1273,0.1922,0.0311
VWMA_10_y,0.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0373,0.0,0.0012,0.0088,0.0222,0.1672,0.0,0.0,0.0001,0.0001,1.0,0.0,0.0,0.0,0.0,0.0135,0.0027,0.0,0.0935,0.0
MACD_12_26_9_y,0.0773,0.0001,0.0481,0.0,0.0,0.0,0.0,0.1121,0.0,0.2763,0.4338,0.0569,0.0186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0557,0.0,0.0279,0.0
MACDh_12_26_9_y,0.0786,0.0005,0.0,0.0,0.0,0.0,0.0,0.0606,0.0,0.001,0.5829,0.3764,0.0038,0.0051,0.0009,0.0,0.0,0.0,0.0,1.0,0.0,0.0014,0.0,0.1774,0.0,0.0662,0.0
