,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.1026,0.0426,0.098,0.0188,0.0676,0.2577,0.001,0.0134,0.1541,0.0066,0.0556,0.033,0.0197,0.0107,0.1932,0.2125,0.3403,0.0429,0.2862,0.0746,0.0069,0.3657,0.0357,0.0507,0.0237,0.1163
SMA_50_y,0.0001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.2647,0.0,0.0,0.1303,0.079,0.0,0.0,0.1555,0.0,0.0,0.0,0.0,0.0,0.2157,0.0763
TSI_13_25_13_y,0.0003,0.0003,1.0,0.0,0.0006,0.0,0.0,0.0001,0.0,0.0055,0.0016,0.0,0.1702,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0474,0.0011,0.0122,0.1629,0.0
TSIs_13_25_13_y,0.0002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0
BBL_5_2.0_y,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.1028,0.0
BBM_5_2.0_y,0.0003,0.0,0.0,0.0,0.0,1.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644,0.0
BBU_5_2.0_y,0.0,0.0007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0001,0.1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0936,0.0
BBB_5_2.0_y,0.0,0.0094,0.0027,0.0041,0.0132,0.0251,0.0381,1.0,0.023,0.0135,0.001,0.0,0.6972,0.0168,0.0053,0.0879,0.0792,0.042,0.017,0.0296,0.0248,0.0019,0.0822,0.0026,0.0307,0.0718,0.0029
BBP_5_2.0_y,0.6085,0.0182,0.5401,0.5944,0.4855,0.2925,0.2176,0.1256,1.0,0.0779,0.1535,0.0299,0.4852,0.2416,0.3032,0.1357,0.0824,0.1256,0.5358,0.4406,0.5929,0.4391,0.0191,0.1324,0.6035,0.1898,0.3958
PVI_1_y,0.7578,0.022,0.2545,0.2172,0.1006,0.1337,0.1902,0.2317,0.2495,1.0,0.111,0.5339,0.0172,0.1041,0.302,0.1243,0.119,0.0292,0.3027,0.2138,0.2282,0.1884,0.2113,0.2679,0.5661,0.3357,0.2551
NVI_1_y,0.3427,0.0137,0.1394,0.1185,0.0734,0.035,0.0608,0.6984,0.0202,0.0287,1.0,0.0005,0.0171,0.0758,0.0042,0.011,0.0273,0.0591,0.1096,0.1084,0.0958,0.0553,0.013,0.0005,0.2937,0.3999,0.032
ATRr_14_y,0.0015,0.0001,0.0122,0.016,0.3178,0.0707,0.2783,0.0855,0.0002,0.0014,0.0883,1.0,0.0892,0.0691,0.0085,0.0012,0.0039,0.3011,0.0058,0.0104,0.0097,0.0024,0.0039,0.0,0.0301,0.2855,0.0011
ADX_14_y,0.0116,0.4409,0.4995,0.5764,0.0503,0.1622,0.0921,0.0,0.2714,0.0161,0.1611,0.1549,1.0,0.3588,0.0101,0.2313,0.3105,0.2067,0.2556,0.1218,0.4906,0.4943,0.7486,0.1061,0.1264,0.3636,0.6026
DMP_14_y,0.42,0.049,0.0108,0.0229,0.299,0.0302,0.1107,0.0189,0.1434,0.0604,0.02,0.0038,0.5953,1.0,0.3045,0.2642,0.1821,0.0282,0.0346,0.0612,0.0689,0.0084,0.0379,0.0003,0.4887,0.5031,0.018
DMN_14_y,0.5506,0.1365,0.1405,0.1921,0.0414,0.0285,0.033,0.3529,0.1766,0.1503,0.3565,0.6175,0.1724,0.6461,1.0,0.2659,0.3188,0.0309,0.0973,0.0958,0.0754,0.1179,0.0112,0.1008,0.2904,0.0082,0.1234
