,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.2077,0.1157,0.1587,0.0083,0.2308,0.0083,0.0033,0.3362,0.1394,0.0065,0.025,0.0003,0.0219,0.0374,0.4521,0.4521,0.3911,0.0574,0.301,0.0971,0.0757,0.3355,0.0095,0.0667,0.6691,0.1678
SMA_50_y,0.0003,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.4411,0.4411,0.0,0.0,0.0371,0.0,0.0,0.0,0.0,0.0,0.0577,0.0196
TSI_13_25_13_y,0.5602,0.2837,1.0,0.0,0.0059,0.0821,0.4682,0.0,0.0,0.6206,0.0512,0.3363,0.1816,0.0,0.0,0.0,0.0,0.0043,0.2904,0.0,0.0,0.0,0.0411,0.0969,0.1058,0.1409,0.0
TSIs_13_25_13_y,0.4926,0.0,0.0,1.0,0.0612,0.0,0.0,0.0,0.0,0.0,0.0,0.0281,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0
BBL_5_2.0_y,0.0243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0
BBM_5_2.0_y,0.1325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1298,0.1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0
BBU_5_2.0_y,0.0158,0.0003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0061,0.0,0.2334,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0,0.0,0.0,0.0013,0.0002,0.0,0.6477,0.0
BBB_5_2.0_y,0.0,0.0394,0.0243,0.0214,0.0305,0.0283,0.0221,1.0,0.6475,0.1517,0.0118,0.0,0.6491,0.005,0.0296,0.2541,0.2541,0.0045,0.0659,0.2206,0.1198,0.1617,0.3367,0.0025,0.06,0.7294,0.1996
BBP_5_2.0_y,0.3195,0.2245,0.0596,0.4302,0.0289,0.0006,0.2413,0.0963,1.0,0.2455,0.1683,0.6335,0.2587,0.0754,0.2791,0.1087,0.1087,0.0423,0.2067,0.0482,0.2223,0.035,0.0258,0.3943,0.0113,0.1062,0.0092
PVI_1_y,0.2489,0.3755,0.2667,0.1566,0.1948,0.124,0.1067,0.29,0.256,1.0,0.0829,0.3194,0.1279,0.1564,0.0178,0.2714,0.2714,0.1464,0.3829,0.6309,0.2618,0.3199,0.0295,0.0605,0.4456,0.6238,0.2692
