,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0947,0.6181,0.2268,0.0157,0.0843,0.0505,0.0347,0.6871,0.1083,0.1958,0.1837,0.0,0.4835,0.4824,0.8053,0.8036,0.0521,0.5428,0.3426,0.629,0.4525,0.3648,0.0023,0.3708,0.3956,0.3939
SMA_50_y,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.1963,0.0,0.0,0.0,0.0882,0.6833,0.0,0.0,0.0209,0.0196,0.0,0.0,0.2279,0.0,0.0,0.0,0.0,0.0,0.0009,0.0186
TSI_13_25_13_y,0.0,0.0365,1.0,0.0,0.0194,0.0207,0.0136,0.0196,0.0,0.0496,0.0205,0.0593,0.1343,0.0,0.0,0.0,0.0,0.0008,0.1219,0.0,0.0,0.0,0.0185,0.0411,0.3132,0.1638,0.0
TSIs_13_25_13_y,0.0,0.0,0.0,1.0,0.0003,0.0,0.0,0.0225,0.0,0.0,0.0,0.0663,0.3952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.3494,0.0
BBL_5_2.0_y,0.0016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2562,0.0
BBM_5_2.0_y,0.0002,0.0,0.0,0.0,0.0048,1.0,0.0048,0.0053,0.0,0.0,0.0,0.0548,0.1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334,0.0
BBU_5_2.0_y,0.0018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0292,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5474,0.0
BBB_5_2.0_y,0.0,0.0017,0.4839,0.4494,0.0055,0.0057,0.0056,1.0,0.795,0.0019,0.0033,0.0,0.0758,0.5141,0.1256,0.4419,0.3406,0.0027,0.3401,0.5583,0.3514,0.6661,0.0727,0.0009,0.3689,0.3601,0.3044
BBP_5_2.0_y,0.0375,0.0927,0.0535,0.1117,0.2253,0.2109,0.064,0.0941,1.0,0.2665,0.0844,0.3778,0.3789,0.0134,0.2852,0.0004,0.0018,0.2612,0.1233,0.1179,0.2234,0.0255,0.0293,0.3171,0.0225,0.1424,0.0491
PVI_1_y,0.0206,0.2293,0.2242,0.3124,0.0385,0.2333,0.0269,0.0101,0.0557,1.0,0.16,0.1281,0.2196,0.033,0.3418,0.0794,0.0825,0.1043,0.2018,0.2018,0.3322,0.0905,0.0782,0.1365,0.0964,0.6574,0.1295
