,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,bv,totalasset,roe,roa,eps,shares,ebitda,debt,dps,debt/asset,ev/ebitda,p/e,Unnamed: 0,score,log_ret
Open,1.0,0.9967032999263957,0.9959379871959804,0.9903137676797674,0.9903137676797674,-0.5970893577835648,0.7315382890413784,0.47521714058467285,0.5126641998870313,0.9840026607451859,0.989982553525799,0.9822861196586747,-0.16800080967176428,0.019117519202071886,0.9130033077261163,0.06583298336573883,0.5757271281472148,-0.21473186767108274,0.3086113132113269,-0.4003851977643947,-0.021144483138346687,0.024500517256140966,0.9723475068633586,0.4521614281667164,0.02312160457659467,0.472056967165367,0.3671960979186435,0.10430553129906157,0.0559922007302002,0.40494918286940135,-0.44097338473822345,-0.438565695960548,0.017948962743329553,-0.061441672666295376,-0.6017029830159771,-0.6605386169298427,-0.5945730319602719,0.5223373020016753,0.5263248639492268,0.5296557815800825,0.8808871814766176,0.834618302653869,-0.5186331612528161,0.21306902135503833,-0.0368800660941448
High,0.9967032999263957,1.0,0.9964498819166709,0.995784781770356,0.995784781770356,-0.5852260919234608,0.7379601774746425,0.4713481597188268,0.5031603122995673,0.982084659151864,0.9898368482277642,0.9837513899662444,-0.1541185837865679,0.05177739628705526,0.9181449148885301,0.05986360147760217,0.5905846499922538,-0.2103613721479007,0.31321042007668565,-0.40250070771054175,0.01889100812644774,-0.015263667787643933,0.9720953244308487,0.4449973693822095,0.03536226535055875,0.46052399585796133,0.37649394255247426,0.09431549573816943,0.04962964682529222,0.3984026081008277,-0.45472605988903986,-0.45154252533213374,0.028431006261264654,-0.05272976971443123,-0.6167331012669216,-0.6727696621564755,-0.6097602404286174,0.5375734790190493,0.541550096035759,0.5449555871211381,0.8923232620704435,0.8468665666025581,-0.5318893388028764,0.2197326703414519,0.008889207545705838
Low,0.9959379871959804,0.9964498819166709,1.0,0.9965832228659878,0.9965832228659878,-0.6030681394540025,0.7163055720358343,0.4926215107950796,0.5242597300968082,0.9837120228333609,0.9871448421626255,0.9771735780736592,-0.18651900930565174,0.06725761991945266,0.9165591413121263,0.08188221996292287,0.5525069217242253,-0.21399628489698605,0.3336233857430292,-0.42644728422205713,0.02423158014714815,-0.020878112568551564,0.9671288056553033,0.47152439288473164,0.045594557501764506,0.48536428225805095,0.3999035020572831,0.12300032650854963,0.07605818691409351,0.4222959406956419,-0.4264855050457159,-0.42412539134756927,-0.005600861900004242,-0.08490066994125968,-0.5925988725630102,-0.650201034103661,-0.5848968362968667,0.5133447629667177,0.5173652076872124,0.5206526256165644,0.8819760888896743,0.8352581107411673,-0.5024704675203616,0.23623576125926152,0.021654111184500637
Close,0.9903137676797674,0.995784781770356,0.9965832228659878,1.0,1.0,-0.5922094809061751,0.7221720705718264,0.4861719374127641,0.5132826842749905,0.9798512658063068,0.9848417325990321,0.9763151708876028,-0.17415591135035324,0.10159829656299807,0.9202432713629198,0.07437467050906185,0.5678167761213683,-0.208214695284724,0.33159272546831436,-0.4221025186328934,0.06632378285259215,-0.06277517707315954,0.9651024800630887,0.4613218262920974,0.05373336280614815,0.47192806685501565,0.40691840726360046,0.1123236758642977,0.06930501064946283,0.41192538129029416,-0.44028224541818606,-0.4371382524266375,0.004727756992271728,-0.07629920378693769,-0.6071421293558283,-0.6616150279780658,-0.5995782204447055,0.5286126463333284,0.5326044875855077,0.5359340143789177,0.8920511596334184,0.8463482673556958,-0.5156924447949304,0.24136964429815283,0.07330712704455054
Adj Close,0.9903137676797674,0.995784781770356,0.9965832228659878,1.0,1.0,-0.5922094809061751,0.7221720705718264,0.4861719374127641,0.5132826842749905,0.9798512658063068,0.9848417325990321,0.9763151708876028,-0.17415591135035324,0.10159829656299807,0.9202432713629198,0.07437467050906185,0.5678167761213683,-0.208214695284724,0.33159272546831436,-0.4221025186328934,0.06632378285259215,-0.06277517707315954,0.9651024800630887,0.4613218262920974,0.05373336280614815,0.47192806685501565,0.40691840726360046,0.1123236758642977,0.06930501064946283,0.41192538129029416,-0.44028224541818606,-0.4371382524266375,0.004727756992271728,-0.07629920378693769,-0.6071421293558283,-0.6616150279780658,-0.5995782204447055,0.5286126463333284,0.5326044875855077,0.5359340143789177,0.8920511596334184,0.8463482673556958,-0.5156924447949304,0.24136964429815283,0.07330712704455054
Volume,-0.5970893577835648,-0.5852260919234608,-0.6030681394540025,-0.5922094809061751,-0.5922094809061751,1.0,-0.7570513588829337,0.15921426459027352,0.05732243225739832,-0.6356932117703308,-0.6144754873538529,-0.5870652950700208,0.3423963899123495,0.11859911545796885,-0.5798154741134177,0.14581714745617835,-0.4566869029600966,0.44260700774582656,0.2935119955312601,-0.09736713522487205,0.06720074241157488,-0.06327450084394316,-0.6432012797073517,0.14575834936202814,0.19248241119776147,0.09267717565731823,0.19732563799682643,0.25795177806545905,0.2762912837044689,0.18004398711509192,0.4371786214838293,0.4441349668769802,-0.07471001054422916,-0.015533235419658809,0.48602292383241935,0.5646670544141258,0.4790314461215966,-0.45367514316930435,-0.4559190247691693,-0.4552211206850942,-0.5662169980060962,-0.5446013634741164,0.5570683001253323,0.017657941856036388,0.05622738138867335
SMA_50,0.7315382890413784,0.7379601774746425,0.7163055720358343,0.7221720705718264,0.7221720705718264,-0.7570513588829337,1.0,-0.2084605575337631,-0.11206933708948766,0.7322688509226789,0.7597288179137305,0.7745866283118761,0.04445248551165861,-0.18008653675506758,0.6680136115611373,-0.23427061675712796,0.8425080095989587,-0.2636120673225929,-0.3405140322777438,0.20883286604401105,-0.08143055382834716,0.08338693296124813,0.7984717527989182,-0.2603693831921422,-0.2291071301724171,-0.20243927035855713,-0.2626473473726011,-0.4038649832788969,-0.41105509859416095,-0.28176151678645067,-0.6836183290275599,-0.6737173014521087,0.3619489400782348,0.27391009414431877,-0.7687168822051801,-0.801593321955357,-0.7693304569992009,0.7110957063179209,0.7137947576710203,0.7170932101471836,0.789699322034972,0.7751566411239629,-0.8059886896442929,-0.05593389504105953,-0.09940440882536787
TSI_13_25_13,0.47521714058467285,0.4713481597188268,0.4926215107950796,0.4861719374127641,0.4861719374127641,0.15921426459027352,-0.2084605575337631,1.0,0.9202580217711395,0.4675563262046375,0.4474890202427362,0.42333723596294415,-0.25687569147800793,0.21585597246698343,0.44007947029861993,0.46247151343658205,-0.19264852543253685,0.08899491570313398,0.8932798019989191,-0.8556983551337085,0.10264347692281953,-0.09816443427680359,0.37738981907738167,0.9666147391632139,0.3184261939214167,0.9226525306551572,0.8880305093429981,0.7146588092342626,0.6618937880301032,0.9330155268538396,0.26476766717303707,0.25928584167922974,-0.4347769266177981,-0.4380370640240392,0.10969130512598582,0.07580559693068846,0.11924152826434159,-0.1689961254891408,-0.16617369950607874,-0.16376193320020516,0.24109765513702475,0.19267868563366278,0.2994258497918848,0.3906973504948438,0.10081790710397229
TSIs_13_25_13,0.5126641998870313,0.5031603122995673,0.5242597300968082,0.5132826842749905,0.5132826842749905,0.05732243225739832,-0.11206933708948766,0.9202580217711395,1.0,0.5313440302085408,0.5082670827039713,0.48057707112375186,-0.2970414778375457,0.04212105370841498,0.462478526513617,0.4982313844194245,-0.15225875248569679,0.03700881155388897,0.6896250471822967,-0.6748483489345847,0.022467123285212467,-0.016010044034076673,0.47903373526566795,0.8896617045808906,-0.056167215405339,0.9614959239805458,0.6794516270712022,0.7771167303560576,0.6992743220744836,0.7951194483642527,0.29954012195007784,0.2914094492908032,-0.44248132135576246,-0.4403528328285063,0.14412482480761987,0.09357333171966101,0.15316686064900842,-0.21437213059249027,-0.21121096689086136,-0.20834762990586195,0.22891958605275003,0.17190860139595654,0.3273875328353587,0.358494159997699,0.006752439196210823
BBL_5_2.0,0.9840026607451859,0.982084659151864,0.9837120228333609,0.9798512658063068,0.9798512658063068,-0.6356932117703308,0.7322688509226789,0.4675563262046375,0.5313440302085408,1.0,0.9923432560872347,0.9722350055544283,-0.27344951052821964,-0.0427310222241127,0.9087209056224026,0.0690811494761496,0.5504354699269717,-0.23716543490934575,0.2574788159296369,-0.36673546601682583,-0.027985317957933898,0.03228627855407524,0.9817033897834873,0.44949408178009753,-0.043684595478922186,0.49070943380979243,0.3243864105684278,0.11711188409304711,0.06417082311777288,0.39610716063239026,-0.4171876136514645,-0.41775394415728806,0.00101532081901265,-0.07385898671743411,-0.569217925848572,-0.6408956921063708,-0.5617051820164032,0.4892694413476237,0.4932986534392753,0.49629056443846137,0.8521068175942351,0.8026920107675553,-0.498876763671718,0.18660255915361054,-0.040990173489351876
