,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0001,0.0085,0.0264,0.0096,0.0207,0.0204,0.0241,0.1394,0.0365,0.0002,0.0,0.3159,0.0033,0.0115,0.1545,0.1487,0.0301,0.0041,0.0624,0.0228,0.0082,0.0,0.0,0.0101,0.2444,0.0074
SMA_50_y,0.0195,1.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0004,0.0136,0.0,0.0244,0.1643,0.0675,0.0045,0.518,0.3737,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0746,0.0,0.036,0.0081
TSI_13_25_13_y,0.0628,0.0033,1.0,0.0,0.0114,0.0085,0.0131,0.5174,0.0,0.0114,0.0003,0.0101,0.0183,0.2198,0.0001,0.0,0.0,0.0,0.6762,0.0,0.0,0.0,0.0063,0.0357,0.1898,0.4678,0.0
TSIs_13_25_13_y,0.0002,0.0,0.0,1.0,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3545,0.0
BBL_5_2.0_y,0.0007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.1202,0.0
BBM_5_2.0_y,0.0001,0.0001,0.0,0.0,0.0281,1.0,0.0281,0.0399,0.0,0.0,0.0,0.0,0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0004,0.0583,0.0
BBU_5_2.0_y,0.0097,0.0045,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0031,0.0004,0.0005,0.0852,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274,0.0,0.136,0.0
BBB_5_2.0_y,0.0,0.0001,0.0216,0.0226,0.003,0.0048,0.0063,1.0,0.1441,0.0197,0.004,0.0001,0.5049,0.0289,0.0428,0.4341,0.5362,0.0048,0.0014,0.1324,0.003,0.0321,0.0003,0.0,0.0051,0.0436,0.0983
BBP_5_2.0_y,0.7451,0.0028,0.0059,0.0264,0.0002,0.0002,0.0014,0.2865,1.0,0.0075,0.4312,0.4125,0.1392,0.1411,0.1148,0.1526,0.0524,0.0002,0.0118,0.0346,0.0254,0.0161,0.2081,0.5565,0.0005,0.7764,0.0491
PVI_1_y,0.1651,0.0757,0.2186,0.1202,0.0593,0.0083,0.0948,0.5189,0.111,1.0,0.0165,0.0078,0.0216,0.3972,0.1787,0.0197,0.0328,0.0141,0.0076,0.0035,0.0123,0.2017,0.0361,0.0558,0.003,0.2327,0.0044
NVI_1_y,0.0577,0.0001,0.0342,0.0156,0.0087,0.0353,0.001,0.0389,0.0709,0.0004,1.0,0.1292,0.4505,0.5792,0.6817,0.0287,0.0951,0.0193,0.006,0.0846,0.007,0.0102,0.0032,0.1035,0.0002,0.5259,0.0098
ATRr_14_y,0.267,0.0006,0.0,0.0001,0.0469,0.0007,0.037,0.3112,0.0083,0.0,0.0097,1.0,0.0047,0.0086,0.5098,0.0011,0.0053,0.0003,0.0,0.0,0.0,0.0,0.0,0.0036,0.0157,0.7408,0.0
ADX_14_y,0.0,0.057,0.0041,0.1476,0.0915,0.1569,0.0521,0.0,0.0001,0.135,0.1824,0.0429,1.0,0.0435,0.1871,0.0155,0.0066,0.0166,0.0074,0.0,0.2151,0.0,0.5309,0.086,0.0002,0.2563,0.0001
DMP_14_y,0.9066,0.0049,0.016,0.0155,0.0565,0.0194,0.0482,0.6184,0.0402,0.0839,0.1401,0.0042,0.1319,1.0,0.0,0.0341,0.0264,0.0185,0.0535,0.0437,0.0609,0.0135,0.0229,0.1364,0.0442,0.1523,0.033
