,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,roe_x,roa_x,debt_x,debt/asset_x,ev/ebitda_x,p/e_x,Unnamed: 0_x,score_x,log_ret_x
Volume_y,1.0,0.0349,0.0002,0.0001,0.0176,0.0,0.002,0.2363,0.0017,0.0039,0.0232,0.1145,0.0056,0.0003,0.0005,0.0104,0.0104,0.0,0.0005,0.0,0.0002,0.0001,0.0028,0.0001,0.001,0.3019,0.3019,0.3019,0.3019,0.0024,0.0026,0.5689,0.0063,0.0046
SMA_50_y,0.006,1.0,0.0,0.0,0.0,0.0,0.0,0.1595,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.0482
TSI_13_25_13_y,0.1843,0.0,1.0,0.0,0.0,0.0,0.0,0.0489,0.0,0.0023,0.0017,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0731,0.1085,0.1085,0.1085,0.1085,0.0001,0.0001,0.0546,0.0084,0.0
TSIs_13_25_13_y,0.0,0.0,0.0,1.0,0.0032,0.0,0.0262,0.0458,0.0,0.0,0.0021,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.011,0.0,0.1193,0.1193,0.1193,0.1193,0.0,0.0,0.0636,0.0007,0.0
BBL_5_2.0_y,0.1661,0.0076,0.0004,0.0001,1.0,0.0,0.0,0.0,0.0001,0.0459,0.0009,0.0014,0.0011,0.0,0.0001,0.0001,0.0001,0.0,0.0003,0.0007,0.0002,0.0,0.0,0.0,0.0007,0.6167,0.6167,0.6167,0.6167,0.0,0.0,0.0042,0.004,0.0005
BBM_5_2.0_y,0.0318,0.0,0.0,0.0,0.0437,1.0,0.0437,0.0994,0.0,0.0,0.0011,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4023,0.4023,0.4023,0.4023,0.0,0.0,0.0416,0.0003,0.0
BBU_5_2.0_y,0.0004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0049,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0957,0.0957,0.0957,0.0957,0.0,0.0,0.0295,0.0016,0.0
BBB_5_2.0_y,0.0007,0.6307,0.0579,0.0192,0.5562,0.5207,0.457,1.0,0.3453,0.4886,0.0963,0.0,0.0024,0.0624,0.114,0.0531,0.0531,0.0588,0.1249,0.0512,0.0403,0.0881,0.1856,0.2821,0.1145,0.0661,0.0661,0.0661,0.0661,0.266,0.2723,0.068,0.0707,0.553
BBP_5_2.0_y,0.1073,0.0606,0.002,0.002,0.0071,0.0684,0.0022,0.0159,1.0,0.0226,0.2725,0.0049,0.3323,0.0083,0.0108,0.0012,0.0012,0.0148,0.0128,0.0595,0.0152,0.0019,0.0007,0.0238,0.0237,0.0316,0.0316,0.0316,0.0316,0.0946,0.0844,0.4849,0.0803,0.002
PVI_1_y,0.2657,0.0023,0.075,0.1501,0.0053,0.1173,0.0003,0.0008,0.0214,1.0,0.268,0.0486,0.4903,0.0293,0.0293,0.0002,0.0002,0.0599,0.1321,0.1777,0.181,0.0127,0.0068,0.0491,0.1727,0.0914,0.0914,0.0914,0.0914,0.3737,0.3579,0.0041,0.0346,0.1567
NVI_1_y,0.0004,0.0014,0.0,0.0,0.0236,0.0052,0.0143,0.0243,0.0006,0.0,1.0,0.001,0.0087,0.0,0.0021,0.0511,0.0511,0.0058,0.0,0.0,0.0,0.0,0.0366,0.0013,0.0163,0.0,0.0,0.0,0.0,0.0005,0.0006,0.0085,0.0047,0.0
ATRr_14_y,0.0297,0.0035,0.0,0.0,0.0001,0.0001,0.0002,0.6095,0.0028,0.002,0.0033,1.0,0.0004,0.0001,0.0003,0.0069,0.0069,0.0,0.0,0.0023,0.0,0.0,0.0001,0.0004,0.0001,0.273,0.273,0.273,0.273,0.0,0.0,0.034,0.0064,0.0273
ADX_14_y,0.0024,0.0,0.0015,0.016,0.0,0.0,0.0001,0.0142,0.0001,0.2346,0.0,0.0,1.0,0.0,0.0,0.0005,0.0005,0.0,0.0482,0.0,0.008,0.0,0.0003,0.0136,0.0,0.0394,0.0394,0.0394,0.0394,0.0016,0.0014,0.1062,0.0694,0.0042
