,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,Unnamed: 0,score,log_ret
Open,1.0,0.998386175414602,0.9979583660633808,0.9954356987016121,0.9897771172622265,-0.13524999665810597,0.7804269996172881,0.5607083198339377,0.6181883263683772,0.9763278352844361,0.987231945738629,0.9791070318834447,0.008402435049846908,0.08676485835400725,0.6782897944545974,0.17450199926434143,0.16239909029067645,0.12446671942877917,0.48914428825456224,-0.2640491382518522,0.015177987062766988,-0.0047996453736897276,0.9724191635295681,0.5485573954626699,0.020938002993671545,0.5788978418391194,0.4473197631128766,0.7990475821387146,0.223522385020944,0.45342388557057894,0.3061462199124812,0.15829550643343623,0.011525915804554197
High,0.998386175414602,1.0,0.9982144775349657,0.9980106824953427,0.991915349785408,-0.12736039177278777,0.7816347128235354,0.5587200277443024,0.6156601867013948,0.974044719926215,0.9860561553946438,0.9790093434469185,0.016553588047757528,0.10620695426142968,0.6829411264009321,0.17092882570838608,0.16809186359096107,0.12195539689170204,0.48986385174338243,-0.2690737044896193,0.04244068196255371,-0.03198492969121469,0.9718726112378053,0.5464801214588526,0.021190045843154155,0.5765937978837289,0.45298248291232296,0.8027075329105572,0.22851771078203917,0.45123804733727885,0.30116456668303093,0.1608618558279787,0.04460259805882587
Low,0.9979583660633808,0.9982144775349657,1.0,0.9983011036014504,0.9945328201324232,-0.15168261319539392,0.7696333264669537,0.571811404074232,0.6252541153148338,0.9776223748239335,0.9863136457367695,0.976095609372928,-0.006859211222351637,0.11714140218429271,0.6662241582095658,0.194508028056437,0.1422971795570478,0.12327781577848664,0.5085809097720235,-0.27309640301020627,0.04448408795152972,-0.0338822647415374,0.9697618122809156,0.5598356796239012,0.033637015035061765,0.5866573392318609,0.47032075189062866,0.8013737574906254,0.2042055550895999,0.46431056114079317,0.3251162859705541,0.16065888212449858,0.048599930237242406
Close,0.9954356987016121,0.9980106824953427,0.9983011036014504,1.0,0.9955604211872244,-0.14230384466348542,0.7709009966654634,0.5685051306555363,0.6210508710381473,0.97438852801144,0.9842130392535197,0.9751151727211458,0.0013220344214075616,0.13522975512589608,0.6710471947543687,0.18946009506819717,0.15043408255128343,0.12080040585111547,0.5053982570723053,-0.2753696782833458,0.06879023820760237,-0.057585294191334145,0.9680286544174584,0.5562435769866292,0.03523372205332383,0.5822811203928316,0.47435149284159206,0.8039180033496819,0.2111776467955455,0.46056647635806885,0.31815586692499676,0.16132585265846305,0.07990527006349508
Adj Close,0.9897771172622265,0.991915349785408,0.9945328201324232,0.9955604211872244,1.0,-0.15363291288243158,0.7333129486262895,0.609064134693807,0.6564878095038741,0.9789338530454198,0.9846100739027268,0.9715485929627421,-0.02789839192624572,0.15647865806604028,0.6141085222701933,0.26509175734119583,0.06458033473488006,0.14327589763692236,0.5674389044753738,-0.26202868104465327,0.07825403434448261,-0.06811231604254211,0.9650008979585575,0.5980405518540517,0.05602268641363548,0.6199089654287996,0.5165813327996888,0.7834075889057105,0.12846221547640407,0.49925958914029633,0.4010326594290831,0.16932121806617148,0.09068786708181775
Volume,-0.13524999665810597,-0.12736039177278777,-0.15168261319539392,-0.14230384466348542,-0.15363291288243158,1.0,0.020764569949003324,-0.20131615051499765,-0.15024016133311321,-0.17313757517138365,-0.11596150906899673,-0.05925766760709415,0.4050480142142158,-0.22641032685063106,0.04041068940136037,-0.2168832355021921,0.18459333778792403,0.1567007541387976,-0.1824286676229068,0.244285766345805,-0.12018556907070468,0.12205435121107,-0.08459970227007609,-0.19937576411917252,-0.15236110894385152,-0.16152658445279525,-0.28008044447252767,-0.07591831295697686,0.1500129853943705,-0.19081842356192963,-0.19217565911434684,0.06582345983732771,-0.15475349810881012
SMA_50,0.7804269996172881,0.7816347128235354,0.7696333264669537,0.7709009966654634,0.7333129486262895,0.020764569949003324,1.0,-0.047963396349989036,0.0759619466650637,0.736344137372647,0.7683867307190074,0.7845276025386586,0.1821451965491865,-0.09808551006540751,0.8714486625891955,-0.3254373825093118,0.5364843419382889,0.10710390656622482,-0.07705683496412778,0.07549532331948625,-0.04632106776505934,0.06012119135842364,0.7998060773414661,-0.07119346055237329,-0.25976117686276484,0.011662093981613827,-0.12182427999771683,0.5776113207531735,0.5981189947529891,-0.16351337618535425,-0.11757459352217933,0.09957472796431609,-0.08008492013572677
TSI_13_25_13,0.5607083198339377,0.5587200277443024,0.571811404074232,0.5685051306555363,0.609064134693807,-0.20131615051499765,-0.047963396349989036,1.0,0.9173390604320386,0.6014938456840381,0.5816090905421367,0.5517322175863598,-0.19581267689567858,0.1662661979304383,-0.04158727401217893,0.6763933815941089,-0.4428488331300783,0.13155582660600126,0.8760264489784035,-0.5118031857891828,0.0421300986710505,-0.04289199682719261,0.5239648129490375,0.9844473734744538,0.3592256900067053,0.9302885238718461,0.8547242654367293,0.4934542513465031,-0.3900301563389326,0.9625377211406163,0.6285222986794902,0.12523969434581042,0.06691137520521061
TSIs_13_25_13,0.6181883263683772,0.6156601867013948,0.6252541153148338,0.6210508710381473,0.6564878095038741,-0.15024016133311321,0.0759619466650637,0.9173390604320386,1.0,0.6661326440452712,0.658655498680012,0.6391659174220758,-0.11260031264740593,0.018603482590717098,2.089332478181617e-05,0.674190946473995,-0.38992324954141566,0.1398864890389249,0.7746220881225698,-0.2927269554060237,-0.010453163887662039,0.011239720430415639,0.6436360864975382,0.9138609110042063,-0.02345589664444415,0.9841042353171335,0.6423881920428104,0.5132847981110975,-0.36034995013797433,0.8322859150459218,0.6501650680532152,0.06737113872775721,0.003294242517225056
BBL_5_2.0,0.9763278352844361,0.974044719926215,0.9776223748239335,0.97438852801144,0.9789338530454198,-0.17313757517138365,0.736344137372647,0.6014938456840381,0.6661326440452712,1.0,0.9899271267317793,0.9617461952768277,-0.1398141263052066,0.024406308463195022,0.5976507716796219,0.26445732858768545,0.04512460593314936,0.11802136110164774,0.5213243628321854,-0.20487543788703913,-0.015849914644752622,0.025120435037385105,0.974585532509997,0.5936981575708501,0.003141851353197018,0.633126137257996,0.44658461314787795,0.7552158161633409,0.12224937911924313,0.49540249904275435,0.40617918685624826,0.15651885215484274,-0.024287164849269207
