,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,bv,totalasset,roe,roa,eps,shares,ebitda,debt,dps,debt/asset,ev/ebitda,p/e,Unnamed: 0,score,log_ret
Open,1.0,0.9970257763879169,0.996812569907801,0.9911480565207876,0.9911480565207876,0.09862728770273942,0.7319602900575385,0.8021574752257258,0.9100992759999289,0.9799574621125299,0.98777819109715,0.9807224342630073,0.11996522221448855,0.05214837934218604,0.6904953089762238,0.9417471231884487,0.7340696793036058,0.811763038870027,0.5772370511181254,-0.5097606702768884,0.013512662379787486,-0.01351266237978751,0.969167972679659,0.8567763483214341,-0.02782133964589422,0.9231118058246975,0.5868188544920375,0.9856703895946841,0.9515047146216535,0.7477190169320826,0.24039524881665097,0.24039524881665245,-0.24039524881665114,-0.24039524881665159,0.24039524881665528,0.24039524881666682,0.24039524881664687,-0.24039524881665103,-0.24039524881665114,-0.24039524881665192,0.9895502984108369,0.9888483306778794,0.830493486508274,0.4274052407154833,-0.02128883461066637
High,0.9970257763879169,1.0,0.9975625777897098,0.9964538281498986,0.9964538281498986,0.12180923856697562,0.7208189313246712,0.8160470513933655,0.9175058157098093,0.9792975513432024,0.9884028589793784,0.9824652707922997,0.12936014909572152,0.08336625064628009,0.6954386825450146,0.9467597107249447,0.7327714423114325,0.8232507303385838,0.5948853848039453,-0.5261238909104977,0.04921800154157143,-0.04921800154157141,0.9685941719414148,0.86811614171599,-0.012076221354465283,0.9299960510040267,0.6085332280509765,0.9884075135305151,0.9603641401032765,0.7602716481084699,0.24278991586835508,0.2427899158683564,-0.24278991586835488,-0.24278991586835555,0.24278991586835913,0.24278991586836712,0.24278991586835091,-0.242789915868355,-0.2427899158683549,-0.2427899158683558,0.9947812627324796,0.9940625467850595,0.832509908471266,0.44156280727930325,0.022265403322247145
Low,0.996812569907801,0.9975625777897098,1.0,0.9970975774508212,0.9970975774508212,0.0782110873485732,0.7264271536154088,0.8055463468529248,0.9105703782028289,0.979163054040078,0.9858179940211019,0.9777670999594297,0.11273278904383897,0.0968046339576163,0.6950716163031375,0.9466986498668206,0.7235210397226045,0.8156702281399376,0.5871576527786219,-0.5257248933912502,0.06078401542510067,-0.06078401542510068,0.9674663317464325,0.8599257044786913,-0.020064399169133447,0.9239035976833372,0.6055266868907301,0.9889701810072578,0.9596757411687648,0.7503956755235532,0.24384039252990014,0.24384039252990145,-0.24384039252990009,-0.24384039252990075,0.24384039252990442,0.24384039252991363,0.24384039252989614,-0.24384039252990006,-0.2438403925299001,-0.24384039252990106,0.9953766672917985,0.9946482199348758,0.8342064910949331,0.44474695008255904,0.03613670227728826
Close,0.9911480565207876,0.9964538281498986,0.9970975774508212,1.0,1.0,0.09427532222545261,0.7132108692546363,0.8179700141409902,0.9154817678716712,0.9754709738582867,0.9840818478419084,0.9777713689061832,0.127398928138395,0.12758050256216877,0.7033379361060642,0.9468873483916312,0.720731606529461,0.823575764936576,0.6019863881090558,-0.5372581497546157,0.09618301488559143,-0.09618301488559143,0.9641097240219272,0.8693702716199279,-0.0029520023930361588,0.9283136802564746,0.6267379959791326,0.9898851747323142,0.9660631519231011,0.7612749566395086,0.24350781897804016,0.24350781897804158,-0.24350781897804008,-0.24350781897804064,0.24350781897804435,0.24350781897805085,0.24350781897803617,-0.24350781897804005,-0.2435078189780401,-0.24350781897804108,0.9983314079921459,0.9976120804202773,0.8312620687615511,0.450406297671518,0.08184609979959874
Adj Close,0.9911480565207876,0.9964538281498986,0.9970975774508212,1.0,1.0,0.09427532222545261,0.7132108692546363,0.8179700141409902,0.9154817678716712,0.9754709738582867,0.9840818478419084,0.9777713689061832,0.127398928138395,0.12758050256216877,0.7033379361060642,0.9468873483916312,0.720731606529461,0.823575764936576,0.6019863881090558,-0.5372581497546157,0.09618301488559143,-0.09618301488559143,0.9641097240219272,0.8693702716199279,-0.0029520023930361588,0.9283136802564746,0.6267379959791326,0.9898851747323142,0.9660631519231011,0.7612749566395086,0.24350781897804016,0.24350781897804158,-0.24350781897804008,-0.24350781897804064,0.24350781897804435,0.24350781897805085,0.24350781897803617,-0.24350781897804005,-0.2435078189780401,-0.24350781897804108,0.9983314079921459,0.9976120804202773,0.8312620687615511,0.450406297671518,0.08184609979959874
Volume,0.09862728770273942,0.12180923856697562,0.0782110873485732,0.09427532222545261,0.09427532222545261,1.0,-0.2977116487099927,0.47450796738831724,0.3046891529307893,0.025504457271603078,0.08880079288958535,0.1430799769155587,0.47991171321882276,0.0659075027831234,0.25582581557641126,0.014044026832995077,0.08373997087737357,0.3339587654611874,0.49106278934607944,-0.34303453327398753,-0.042925982659362,0.04292598265936195,0.03009044899905012,0.4076711268765577,0.4443228864814044,0.2877819749997939,0.4206819893962096,0.07690419402445446,0.10194546278418523,0.4802316919765435,0.03483908717838714,0.0348390871783874,-0.03483908717838741,-0.03483908717838761,0.034839087178385984,0.034839087178324624,0.03483908717838794,-0.034839087178387664,-0.03483908717838753,-0.03483908717838769,0.0933646722442493,0.09314914947362017,-0.04581643720319013,-0.028559068014380493,-0.13051564815489033
SMA_50,0.7319602900575385,0.7208189313246712,0.7264271536154088,0.7132108692546363,0.7132108692546363,-0.2977116487099927,1.0,0.23905509336230513,0.5028232288025802,0.7845463230265268,0.7736993804382182,0.7532825314637357,-0.0229845387726494,-0.27384468118695837,0.32271405693965843,0.7556822035621268,0.6346081366816102,0.346968937281952,-0.0375434912882866,0.10292357014192817,-0.14340400716197305,0.14340400716197302,0.8299169110845565,0.3174153112841891,-0.5241530031457547,0.5120742720728344,-0.027210984861754058,0.7494105476068997,0.6927072167012482,0.16706253514359426,0.32813516256302006,0.32813516256302094,-0.32813516256302017,-0.3281351625630202,0.3281351625630248,0.32813516256311487,0.3281351625630171,-0.3281351625630196,-0.32813516256302006,-0.3281351625630205,0.7028959276027943,0.7005937796157476,0.7702969127759431,0.2632034499838245,-0.16417087354155682
TSI_13_25_13,0.8021574752257258,0.8160470513933655,0.8055463468529248,0.8179700141409902,0.8179700141409902,0.47450796738831724,0.23905509336230513,1.0,0.9000881914249661,0.7512807601671161,0.7778740587830587,0.7902449729979064,0.24722182596009584,0.233915337246019,0.7633312323354828,0.7007575814092136,0.48769796980846597,0.8613091561864903,0.8750284096070376,-0.7945061196139731,0.1404479066767318,-0.14044790667673182,0.7059723888323886,0.9863740751272139,0.4458796083556063,0.9045553531556413,0.8815346570229171,0.7777170112607787,0.7991286498982199,0.9792586409279675,0.2004356479562067,0.20043564795620789,-0.20043564795620664,-0.2004356479562073,0.20043564795620872,0.20043564795614754,0.200435647956204,-0.20043564795620694,-0.2004356479562068,-0.20043564795620752,0.8165083307374168,0.8159009578433025,0.5807531251419833,0.4321173798068163,0.10825127572938542
TSIs_13_25_13,0.9100992759999289,0.9175058157098093,0.9105703782028289,0.9154817678716712,0.9154817678716712,0.3046891529307893,0.5028232288025802,0.9000881914249661,1.0,0.8962780751010619,0.9148747740689228,0.9182999954941741,0.19535317951412562,0.044897323613925386,0.7007857664969533,0.8385478128466476,0.7783638694883372,0.875845034542417,0.6151161935123725,-0.5266275452962643,0.047815267050705976,-0.047815267050706045,0.8920103984832303,0.9398869889943398,0.021153138327081315,0.9955533692322496,0.6327800682707164,0.9056082691672146,0.8862083265761067,0.853048223365431,0.1365744852073053,0.1365744852073068,-0.13657448520730547,-0.1365744852073061,0.13657448520730903,0.1365744852072952,0.13657448520730203,-0.1365744852073056,-0.13657448520730553,-0.13657448520730653,0.9189415222970255,0.9192608547392452,0.6537781953211396,0.35808953540844324,-0.004120270715831881
BBL_5_2.0,0.9799574621125299,0.9792975513432024,0.979163054040078,0.9754709738582867,0.9754709738582867,0.025504457271603078,0.7845463230265268,0.7512807601671161,0.8962780751010619,1.0,0.9914414771000849,0.9699644775661806,-0.0019414064632826808,-0.037279873145419196,0.6584319017448378,0.9353163817862993,0.7521942384243318,0.7740708645848974,0.4750101606310326,-0.4243834254555698,-0.0037663348913444094,0.0037663348913443604,0.9841057565371785,0.8142354552289577,-0.12019529241260744,0.9083102749171561,0.49823452644511124,0.9722660849818308,0.9395696371056877,0.6958703771500699,0.23846354905417094,0.23846354905417233,-0.2384635490541709,-0.23846354905417147,0.23846354905417538,0.2384635490541959,0.23846354905416667,-0.2384635490541708,-0.2384635490541709,-0.23846354905417186,0.973770369162803,0.973054384333026,0.8306860286914344,0.4090778205666588,-0.04526727794401615
